player_name,role,total_runs,strike_rate,total_balls_faced,total_wickets_taken,total_runs_conceded,total_overs_bowled,total_matches_played,matches_played_as_batter,matches_played_as_bowler,matches_won,matches_lost,player_of_match_awards,team,average,percentage
V Kohli,Batter,13784,9.170.381.212.161.530,15031,7,681,671,579,579,0,360,219,41,India,1.969.142.857.142.850,"477,93%"
KC Sangakkara,Batter,11618,7.939.046.057.127.230,14634,0,0,0,510,510,0,237,273,26,Sri Lanka,0,"442,17%"
RG Sharma,Batter,10646,9.035.817.348.497.700,11782,11,538,614,577,577,0,358,219,23,India,9.678.181.818.181.810,"474,25%"
MS Dhoni,Batter,10274,8.497.932.175.351.530,12090,1,32,38,575,575,0,356,219,20,India,10274,"458,87%"
AB de Villiers,Batter,9435,9.944.139.966.273.180,9488,7,205,201,466,466,0,286,180,26,South Africa,1.347.857.142.857.140,"497,97%"
TM Dilshan,Batter,9212,8.547.833.348.798.360,10777,97,4197,5141,510,510,0,237,273,24,Sri Lanka,9.496.907.216.494.840,"460,48%"
LRPL Taylor,Batter,8126,8.093.625.498.007.960,10040,0,35,45,444,444,0,231,213,16,New Zealand,0,"447,02%"
DPMD Jayawardene,Batter,8040,7.857.701.329.163.400,10232,2,63,72,510,510,0,237,273,12,Sri Lanka,4020,"439,63%"
HM Amla,Batter,7834,8.648.708.324.133.360,9058,0,0,0,470,470,0,290,180,16,South Africa,0,"463,41%"
Tamim Iqbal,Batter,7648,766.409.459.865.718,9979,0,13,7,345,345,0,134,211,13,Bangladesh,0,"433,34%"
MJ Guptill,Batter,7125,8.524.766.690.595.830,8358,4,100,116,444,444,0,231,213,22,New Zealand,1781.25,"459,91%"
Mushfiqur Rahim,Batter,7094,7.894.502.559.537.050,8986,0,0,0,345,345,0,134,211,9,Bangladesh,0,"440,89%"
MJ Clarke,Batter,6988,7.683.342.495.876.850,9095,56,1868,2264,545,545,0,381,164,10,Australia,12.478.571.428.571.400,"434,04%"
RT Ponting,Batter,6979,806.075.306.075.306,8658,0,0,0,545,545,0,381,164,17,Australia,0,"445,97%"
EJG Morgan,Batter,6953,8.951.976.310.029.610,7767,0,0,0,517,517,0,295,222,12,England,0,"471,71%"
Yuvraj Singh,Batter,6868,8.545.477.168.097.540,8037,99,3438,4028,579,579,0,360,219,20,India,6.937.373.737.373.730,"460,45%"
S Dhawan,Batter,6733,894.869.750.132.908,7524,0,0,0,577,577,0,358,219,11,India,0,"471,63%"
Q de Kock,Batter,6661,9.483.200.455.580.860,7024,0,0,0,470,470,0,290,180,19,South Africa,0,"486,17%"
DA Warner,Batter,6623,9.496.702.036.134.210,6974,0,8,6,545,545,0,381,164,16,Australia,0,"486,70%"
WU Tharanga,Batter,6482,7.328.434.143.583.940,8845,0,0,0,512,512,0,237,275,11,Sri Lanka,0,"422,56%"
CH Gayle,Batter,6433,8.653.483.992.467.040,7434,112,3569,4517,427,427,0,165,262,13,West Indies,574.375,"463,37%"
SR Tendulkar,Batter,6432,8.455.370.053.897.720,7607,31,1420,1545,574,574,0,356,218,16,India,20.748.387.096.774.100,"457,53%"
Mohammad Hafeez,Batter,6351,7.608.721.696.417.870,8347,142,5081,7303,468,468,0,227,241,19,Pakistan,44.725.352.112.676.000,"431,66%"
V Sehwag,Batter,5692,10.193.409.742.120.300,5584,58,2083,2475,574,574,0,356,218,15,India,9.813.793.103.448.270,"504,21%"
Babar Azam,Batter,5659,8.688.776.293.566.710,6513,0,0,0,462,462,0,223,239,13,Pakistan,0,"464,58%"
AD Mathews,Batter,5646,814.248.629.939.429,6934,137,4068,5205,512,512,0,237,275,9,Sri Lanka,4.121.167.883.211.670,"448,42%"
SK Raina,Batter,5585,9.085.732.877.826.580,6147,42,1832,2147,579,579,0,360,219,11,India,13.297.619.047.619.000,"475,60%"
SPD Smith,Batter,5549,8.538.236.651.792.580,6499,29,985,1081,543,543,0,381,162,11,Australia,1.913.448.275.862.060,"460,23%"
F du Plessis,Batter,5445,8.659.351.145.038.160,6288,2,191,197,470,470,0,290,180,9,South Africa,2722.5,"463,48%"
SR Watson,Batter,5357,9.004.874.768.868.710,5949,162,4780,5690,544,544,0,381,163,15,Australia,330.679.012.345.679,"473,44%"
IR Bell,Batter,5289,7.558.953.837.358.860,6997,6,89,92,518,518,0,295,223,9,England,881.5,"430,24%"
AJ Finch,Batter,5188,8.456.397.718.011.410,6135,5,259,287,544,544,0,381,163,7,Australia,1037.6,"457,98%"
BB McCullum,Batter,5157,9.450.247.388.675.090,5457,0,0,0,443,443,0,231,212,5,New Zealand,0,"485,68%"
BRM Taylor,Batter,5130,7.403.665.752.633.850,6929,4,279,262,277,277,0,66,211,4,Zimbabwe,1282.5,"425,27%"
Mahmudullah,Batter,5127,7.545.253.863.134.650,6795,83,3605,4086,345,345,0,134,211,4,Bangladesh,617.710.843.373.494,"429,65%"
MEK Hussey,Batter,5076,844.311.377.245.509,6012,4,237,249,545,545,0,381,164,11,Australia,1269,"457,26%"
JC Buttler,Batter,5018,1.148.283.752.860.410,4370,0,0,0,519,519,0,295,224,13,England,0,"534,00%"
SD Hope,Batter,4989,781.484.962.406.015,6384,0,0,0,430,430,0,166,264,9,West Indies,0,"438,25%"
G Gambhir,Batter,4981,8.395.415.472.779.360,5933,0,13,8,579,579,0,360,219,11,India,0,"456,09%"
JP Duminy,Batter,4928,8.232.542.599.398.590,5986,74,3094,3460,470,470,0,290,180,7,South Africa,665.945.945.945.946,"451,12%"
Younis Khan,Batter,4777,7.451.255.654.344.090,6411,1,217,222,469,469,0,227,242,10,Pakistan,4777,"426,71%"
